Gene_ID	source_id	Product_Description	Genomic_Length
LAMA_000201800	LAMA_000201800.1	hypothetical protein, conserved	4528
LAMA_000201900	LAMA_000201900.1	Glycosyltransferase family 25 LPS biosynthesis protein, putative	828
LAMA_000202000	LAMA_000202000.1	N2,N2-dimethylguanosine tRNA methyltransferase, putative	2178
LAMA_000202100	LAMA_000202100.1	Actin, putative	1452
LAMA_000202200	LAMA_000202200.1	LisH-like dimerisation domain/Holliday junction DNA helicase RuvB P-loop domain/ATPase family associated with various cellular activities AAA/AAA+ lid domain containing protein, putative	1674
LAMA_000202300	LAMA_000202300.1	hypothetical protein, conserved	1860
LAMA_000202400	LAMA_000202400.1	Adenosine/AMP deaminase, putative	4989
LAMA_000202500	LAMA_000202500.1	hypothetical protein, conserved	1473
LAMA_000202600	LAMA_000202600.1	hypothetical protein, conserved	1389
LAMA_000202700	LAMA_000202700.1	hypothetical protein, conserved	984
LAMA_000202800	LAMA_000202800.1	Cryptococcal mannosyltransferase 1, putative	3648
LAMA_000202900	LAMA_000202900.1	hypothetical protein, conserved	1092
LAMA_000203000	LAMA_000203000.1	Subtilase family, putative	4404
LAMA_000203100	LAMA_000203100.1	Dpy-30 motif containing protein, putative	705
LAMA_000203200	LAMA_000203200.1	Oxidoreductase FAD-binding domain/Oxidoreductase NAD-binding domain containing protein, putative	927
LAMA_000203300	LAMA_000203300.1	hypothetical protein, conserved	6411
LAMA_000203400	LAMA_000203400.1	hypothetical protein, conserved	4032
LAMA_000203500	LAMA_000203500.1	Proteasomal ATPase OB C-terminal domain/AAA domain dynein-related subfamily/ATPase family associated with various cellular activities AAA/AAA domain Cdc48 subfamily/AAA+ lid domain containing protein, putative	1317
LAMA_000203600	LAMA_000203600.1	tRNA synthetases class I I, L, M and V/tRNA synthetases class I M/tRNA synthetases class I C catalytic domain/Anticodon-binding domain of tRNA, putative	3228
LAMA_000203700	LAMA_000203700.1	hypothetical protein, conserved	1551
LAMA_000203800	LAMA_000203800.1	RNA polymerases N / 8 kDa subunit, putative	270
LAMA_000203900	LAMA_000203900.1	Uncharacterised ACR, YagE family COG1723, putative	1776
LAMA_000204000	LAMA_000204000.1	Alpha/beta hydrolase family, putative	1212
LAMA_000204100	LAMA_000204100.1	hypothetical protein, conserved	963
LAMA_000204200	LAMA_000204200.1	EF-hand domain pair/EF-hand domain/EF hand, putative	609
LAMA_000204300	LAMA_000204300.1	Mitochondrial glycoprotein, putative	1635
LAMA_000204400	LAMA_000204400.1	Tctex-1 family, putative	357
LAMA_000204500	LAMA_000204500.1	Adenylosuccinate synthetase, putative	2139
LAMA_000204600	LAMA_000204600.1	hypothetical protein, conserved	558
LAMA_000204700	LAMA_000204700.1	Nucleoside transporter, putative	1503
LAMA_000204800	LAMA_000204800.1	Thiamin pyrophosphokinase, vitamin B1 binding domain containing protein, putative	1635
LAMA_000204900	LAMA_000204900.1	hypothetical protein, conserved	453
LAMA_000205000	LAMA_000205000.1	hypothetical protein, conserved	588
LAMA_000205100	LAMA_000205100.1	hypothetical protein	447
LAMA_000205200	LAMA_000205200.1	DNA/RNA non-specific endonuclease, putative	2427
LAMA_000205300	LAMA_000205300.1	Conserved hypothetical ATP binding protein, putative	984
LAMA_000205400	LAMA_000205400.1	hypothetical protein, conserved	2766
LAMA_000205500	LAMA_000205500.1	Complex1_LYR-like/Complex 1 protein LYR family, putative	591
LAMA_000205600	LAMA_000205600.1	IGP family C-type lectin domain containing protein, putative	1248
LAMA_000205700	LAMA_000205700.1	IGP family C-type lectin domain containing protein, putative	1398
LAMA_000205800	LAMA_000205800.1	hypothetical protein, conserved	1491
LAMA_000205900	LAMA_000205900.1	hypothetical protein, conserved	4188
LAMA_000206000	LAMA_000206000.1	Dpy-30 motif containing protein, putative	3465
LAMA_000206100	LAMA_000206100.1	hypothetical protein, conserved	1458
LAMA_000206200	LAMA_000206200.1	Sulfate permease family/STAS domain/Histidine phosphatase superfamily branch 2, putative	5946
LAMA_000206300	LAMA_000206300.1	PX domain/Protein tyrosine kinase/Protein kinase domain/Lipocalin-like domain containing protein, putative	3969
LAMA_000206400	LAMA_000206400.1	hypothetical protein, conserved	2397
LAMA_000206500	LAMA_000206500.1	hypothetical protein, conserved	2538
LAMA_000206600	LAMA_000206600.1	hypothetical protein, conserved	2514
LAMA_000206700	LAMA_000206700.1	T-complex protein 10 C-terminus, putative	2253
LAMA_000206800	LAMA_000206800.1	Sin-like protein conserved region containing protein, putative	2094
LAMA_000206900	LAMA_000206900.1	Endomembrane protein 70, putative	1770
LAMA_000207000	LAMA_000207000.1	Beta-lactamase superfamily domain containing protein, putative	1209
LAMA_000207100	LAMA_000207100.1	hypothetical protein, conserved	2337
LAMA_000207200	LAMA_000207200.1	hypothetical protein, conserved	3756
LAMA_000207300	LAMA_000207300.1	hypothetical protein, conserved	738
LAMA_000207400	LAMA_000207400.1	Leucine Rich repeats 2 copies, putative	1902
LAMA_000207500	LAMA_000207500.1	hypothetical protein, conserved	3876
LAMA_000207600	LAMA_000207600.1	EF hand/EF-hand domain pair, putative	654
LAMA_000207700	LAMA_000207700.1	EF-hand domain pair/EF hand, putative	705
LAMA_000207800	LAMA_000207800.1	SPRY domain/HECT-domain ubiquitin-transferase, putative	16827
LAMA_000207900	LAMA_000207900.1	RanBP1 domain containing protein, putative	477
LAMA_000208000	LAMA_000208000.1	hypothetical protein, conserved	2304
LAMA_000208100	LAMA_000208100.1	PIN domain containing protein, putative	3123
LAMA_000208200	LAMA_000208200.1	ATPase family associated with various cellular activities AAA, putative	2838
LAMA_000208300	LAMA_000208300.1	Phospholipid-translocating ATPase N-terminal/E1-E2 ATPase/Cation transport ATPase P-type/Phospholipid-translocating P-type ATPase C-terminal, putative	3315
LAMA_000208400	LAMA_000208400.1	hypothetical protein, conserved	1464
LAMA_000208500	LAMA_000208500.1	hypothetical protein, conserved	3546
LAMA_000208600	LAMA_000208600.1	Gtr1/RagA G protein conserved region containing protein, putative	1086
LAMA_000208800	LAMA_000208800.1	Ubiquitin-conjugating enzyme, putative	417
LAMA_000208900	LAMA_000208900.1	hypothetical protein, conserved	3639
LAMA_000209000	LAMA_000209000.1	Kinesin motor domain/Microtubule binding, putative	2174
LAMA_000209100	LAMA_000209100.1	FAD binding domain/Squalene epoxidase, putative	1710
LAMA_000209200	LAMA_000209200.1	DNA polymerase family A, putative	4740
LAMA_000209300	LAMA_000209300.1	Protein tyrosine kinase/Protein kinase domain containing protein, putative	1740
LAMA_000209400	LAMA_000209400.1	Dynein heavy chain, N-terminal region 1/Dynein heavy chain, N-terminal region 2/Hydrolytic ATP binding site of dynein motor region/AAA domain dynein-related subfamily/Dynein heavy chain AAA lid domain/P-loop containing dynein motor region/AAA+ lid domain/P-loop containing dynein motor region D4/Microtubule-binding stalk of dynein motor/ATP-binding dynein motor region/Dynein heavy chain region D6 P-loop domain/Dynein heavy chain C-terminal domain containing protein, putative	14004
LAMA_000209500	LAMA_000209500.1	TCP-1/cpn60 chaperonin family, putative	1617
LAMA_000209600	LAMA_000209600.1	Ribosomal protein L44, putative	321
LAMA_000209700	LAMA_000209700.1	NADP oxidoreductase coenzyme F420-dependent/NAD binding domain of 6-phosphogluconate dehydrogenase/Pyrroline-5-carboxylate reductase dimerisation, putative	819
LAMA_000209800	LAMA_000209800.1	Major Facilitator Superfamily/Nodulin-like, putative	1812
LAMA_000209900	LAMA_000209900.1	hypothetical protein, conserved	1389
LAMA_000210000	LAMA_000210000.1	KH domain containing protein, putative	924
LAMA_000210100	LAMA_000210100.1	PI3-kinase family, ras-binding domain/Phosphoinositide 3-kinase C2/Phosphoinositide 3-kinase family, accessory domain PIK domain/Phosphatidylinositol 3- and 4-kinase, putative	2829
LAMA_000210200	LAMA_000210200.1	hypothetical protein, conserved	813
LAMA_000210300	LAMA_000210300.1	Oxygenase domain of the 2OGFeDO superfamily/Type III restriction enzyme, res subunit/SNF2 family N-terminal domain/Helicase conserved C-terminal domain containing protein, putative	3069
LAMA_000210400	LAMA_000210400.1	hypothetical protein, conserved	2202
LAMA_000210500	LAMA_000210500.1	RNA binding activity-knot of a chromodomain/MYST family zinc finger domain/MOZ/SAS family, putative	1578
LAMA_000210600	LAMA_000210600.1	Ribosomal protein L7/L12 C-terminal domain containing protein, putative	540
LAMA_000210700	LAMA_000210700.1	hypothetical protein, conserved	1083
LAMA_000210800	LAMA_000210800.1	hypothetical protein, conserved	837
LAMA_000210900	LAMA_000210900.1	hypothetical protein, conserved	1158
LAMA_000211000	LAMA_000211000.1	hypothetical protein, conserved	3090
LAMA_000211100	LAMA_000211100.1	DnaJ domain containing protein, putative	1572
LAMA_000211200	LAMA_000211200.1	hypothetical protein, conserved	1020
LAMA_000211300	LAMA_000211300.1	Inosine-uridine preferring nucleoside hydrolase, putative	1059
LAMA_000211400	LAMA_000211400.1	hypothetical protein, conserved	576
LAMA_000211500	LAMA_000211500.1	DHHC palmitoyltransferase, putative	840
LAMA_000211600	LAMA_000211600.1	hypothetical protein, conserved	2058
LAMA_000211700:pseudogene	LAMA_000211700.1	Carboxypeptidase Taq M32 metallopeptidase, putative	1371
LAMA_000211800	LAMA_000211800.1	Thioredoxin-like, putative	600
LAMA_000211900	LAMA_000211900.1	Cilia BBSome complex subunit 10, putative	573
LAMA_000212000	LAMA_000212000.1	Domain of unknown function DUF4201, putative	1332
LAMA_000212100	LAMA_000212100.1	PX domain containing protein, putative	1365
LAMA_000212200	LAMA_000212200.1	hypothetical protein, conserved	5499
LAMA_000212300	LAMA_000212300.1	Scavenger mRNA decapping enzyme C-term binding/HIT domain containing protein, putative	429
LAMA_000212400	LAMA_000212400.1	hypothetical protein, conserved	519
LAMA_000212500	LAMA_000212500.1	von Willebrand factor type A domain containing protein, putative	2169
LAMA_000212600	LAMA_000212600.1	Sodium/calcium exchanger protein, putative	1485
LAMA_000212700	LAMA_000212700.1	hypothetical protein, conserved	2901
LAMA_000212800	LAMA_000212800.1	hypothetical protein, conserved	840
LAMA_000212900	LAMA_000212900.1	hypothetical protein, conserved	723
LAMA_000213000	LAMA_000213000.1	Proteasome subunit A N-terminal signature/Proteasome subunit, putative	858
LAMA_000213100	LAMA_000213100.1	Amino acid permease, putative	2412
LAMA_000213200	LAMA_000213200.1	Transmembrane amino acid transporter protein, putative	2100
LAMA_000213300	LAMA_000213300.1	Inositol polyphosphate kinase, putative	3297
LAMA_000213400	LAMA_000213400.1	Threonine synthase N terminus, putative	2037
LAMA_000213500	LAMA_000213500.1	hypothetical protein, conserved	3093
LAMA_000213600	LAMA_000213600.1	hypothetical protein, conserved	7782
LAMA_000213700	LAMA_000213700.1	Plasma-membrane choline transporter, putative	1821
LAMA_000213800	LAMA_000213800.1	hypothetical protein, conserved	579
LAMA_000213900	LAMA_000213900.1	Utp25, U3 small nucleolar RNA-associated SSU processome protein 25, putative	3216
LAMA_000214000	LAMA_000214000.1	Iguana/Dzip1-like DAZ-interacting protein N-terminal, putative	2430
LAMA_000214100	LAMA_000214100.1	mRNA capping enzyme, beta chain, putative	1375
LAMA_000214200	LAMA_000214200.1	Pyridine nucleotide-disulphide oxidoreductase, putative	1653
LAMA_000214300	LAMA_000214300.1	N-terminal conserved domain of Nudc./CS domain containing protein, putative	969
LAMA_000214400	LAMA_000214400.1	Cys/Met metabolism PLP-dependent enzyme, putative	1380
LAMA_000214500	LAMA_000214500.1	hypothetical protein, conserved	627
LAMA_000214600	LAMA_000214600.1	hypothetical protein	282
LAMA_000214700	LAMA_000214700.1	hypothetical protein, conserved	806
LAMA_000214800:pseudogene	LAMA_000214800.1	hypothetical protein	678
LAMA_000214900	LAMA_000214900.1	hypothetical protein, conserved	1989
LAMA_000215000	LAMA_000215000.1	Fatty acid desaturase/Cytochrome b5-like Heme/Steroid binding domain containing protein, putative	1365
LAMA_000215100	LAMA_000215100.1	hypothetical protein, conserved	330
LAMA_000215200	LAMA_000215200.1	Ion channel, putative	1515
LAMA_000215300	LAMA_000215300.1	Ion channel, putative	1665
LAMA_000215400	LAMA_000215400.1	hypothetical protein, conserved	1077
LAMA_000215500	LAMA_000215500.1	hypothetical protein, conserved	1470
LAMA_000215600	LAMA_000215600.1	hypothetical protein	783
LAMA_000215700	LAMA_000215700.1	WD domain, G-beta repeat, putative	3522
LAMA_000215800	LAMA_000215800.1	hypothetical protein, conserved	381
LAMA_000215900	LAMA_000215900.1	hypothetical protein, conserved	4653
LAMA_000216000	LAMA_000216000.1	hypothetical protein, conserved	1530
LAMA_000216100	LAMA_000216100.1	hypothetical protein, conserved	1536
LAMA_000216200:pseudogene	LAMA_000216200.1	hypothetical protein, conserved	1426
LAMA_000216300	LAMA_000216300.1	LSD1 zinc finger containing protein, putative	678
LAMA_000216400	LAMA_000216400.1	GNS1/SUR4 family, putative	915
LAMA_000216500	LAMA_000216500.1	GNS1/SUR4 family, putative	1140
LAMA_000216600:pseudogene	LAMA_000216600.1	GNS1/SUR4 family, putative	864
LAMA_000216700	LAMA_000216700.1	GNS1/SUR4 family, putative	855
LAMA_000216800:pseudogene	LAMA_000216800.1	hypothetical protein, conserved	1983
LAMA_000216900	LAMA_000216900.1	GNS1/SUR4 family, putative	885
LAMA_000217000	LAMA_000217000.1	GNS1/SUR4 family, putative	378
LAMA_000217100	LAMA_000217100.1	GNS1/SUR4 family, putative	978
LAMA_000217200	LAMA_000217200.1	GNS1/SUR4 family, putative	969
LAMA_000217300	LAMA_000217300.1	GNS1/SUR4 family, putative	522
LAMA_000217400	LAMA_000217400.1	GNS1/SUR4 family, putative	906
LAMA_000217500	LAMA_000217500.1	hypothetical protein, conserved	5931
LAMA_000217600	LAMA_000217600.1	ADP-ribosylation factor family/Ras of Complex, Roc, domain of DAPkinase/Gtr1/RagA G protein conserved region/Ras family, putative	1251
LAMA_000217700	LAMA_000217700.1	hypothetical protein, conserved	1281
LAMA_000217800	LAMA_000217800.1	Ribosomal prokaryotic L21 protein, putative	561
LAMA_000217900	LAMA_000217900.1	hypothetical protein, conserved	12664
LAMA_000218000	LAMA_000218000.1	hypothetical protein, conserved	1338
LAMA_000218100	LAMA_000218100.1	Kinesin motor domain/Microtubule binding, putative	3762
LAMA_000218200	LAMA_000218200.1	Domain of unknown function DUF4201, putative	1725
LAMA_000218300:pseudogene	LAMA_000218300.1	Protein kinase domain/Protein tyrosine kinase, putative	2992
LAMA_000218400	LAMA_000218400.1	Type III restriction enzyme, res subunit/SNF2 family N-terminal domain/Helicase conserved C-terminal domain containing protein, putative	3834
LAMA_000218500	LAMA_000218500.1	hypothetical protein, conserved	2568
LAMA_000218600	LAMA_000218600.1	hypothetical protein, conserved	3258
LAMA_000218700	LAMA_000218700.1	hypothetical protein, conserved	1986
LAMA_000218800	LAMA_000218800.1	Protein phosphatase 2C, putative	2937
LAMA_000218900	LAMA_000218900.1	hypothetical protein	225
LAMA_000219000	LAMA_000219000.1	Eukaryotic glutathione synthase, ATP binding domain/Eukaryotic glutathione synthase, putative	1827
LAMA_000219100	LAMA_000219100.1	DNA polymerase family A, putative	4650
LAMA_000219200	LAMA_000219200.1	hypothetical protein, conserved	2577
LAMA_000219300	LAMA_000219300.1	hypothetical protein, conserved	2463
LAMA_000219400	LAMA_000219400.1	Ribosomal protein L16p/L10e, putative	507
LAMA_000219500	LAMA_000219500.1	Cid1 family poly A polymerase, putative	3351
LAMA_000219600	LAMA_000219600.1	Phosphoribulokinase / Uridine kinase family, putative	864
LAMA_000219700	LAMA_000219700.1	Sodium/hydrogen exchanger family, putative	1914
LAMA_000219800	LAMA_000219800.1	Mitochondrial carrier protein, putative	1131
LAMA_000219900	LAMA_000219900.1	hypothetical protein, conserved	1311
LAMA_000220000	LAMA_000220000.1	hypothetical protein, conserved	3051
LAMA_000220100	LAMA_000220100.1	hypothetical protein, conserved	945
LAMA_000220200	LAMA_000220200.1	hypothetical protein, conserved	1518
LAMA_000220300	LAMA_000220300.1	Domain of unknown function DUF202, putative	543
LAMA_000220400	LAMA_000220400.1	hypothetical protein, conserved	624
LAMA_000220500	LAMA_000220500.1	COQ9, putative	813
LAMA_000220600	LAMA_000220600.1	Hydrolytic ATP binding site of dynein motor region/Dynein heavy chain AAA lid domain/P-loop containing dynein motor region/AAA+ lid domain/P-loop containing dynein motor region D4/Microtubule-binding stalk of dynein motor/ATP-binding dynein motor region/Dynein heavy chain region D6 P-loop domain/Dynein heavy chain C-terminal domain containing protein, putative	8618
LAMA_000220700	LAMA_000220700.1	Protein tyrosine kinase/Protein kinase domain containing protein, putative	3126
LAMA_000220800	LAMA_000220800.1	hypothetical protein, conserved	1260
LAMA_000220900	LAMA_000220900.1	PQ loop repeat, putative	693
LAMA_000221000	LAMA_000221000.1	hypothetical protein	538
LAMA_000221100	LAMA_000221100.1	hypothetical protein	407
LAMA_000221200	LAMA_000221200.1	Kinesin motor domain/Microtubule binding, putative	1054
LAMA_000221300	LAMA_000221300.1	hypothetical protein	615
LAMA_000221400	LAMA_000221400.1	hypothetical protein, conserved	2814
LAMA_000221500	LAMA_000221500.1	Cold-shock DNA-binding domain containing protein, putative	1416
LAMA_000221600	LAMA_000221600.1	Tub family, putative	1086
LAMA_000221700	LAMA_000221700.1	hypothetical protein, conserved	1044
LAMA_000221800	LAMA_000221800.1	Enolase, N-terminal domain/Enolase, C-terminal TIM barrel domain/Enolase C-terminal domain-like, putative	1290
LAMA_000221900	LAMA_000221900.1	FYVE zinc finger/Ras family, putative	2307
LAMA_000222000	LAMA_000222000.1	PolyA polymerase central domain/Nucleotidyltransferase domain/PolyA polymerase predicted RNA binding domain containing protein, putative	2118
LAMA_000222100	LAMA_000222100.1	YjeF-related protein N-terminus/Carbohydrate kinase, putative	1671
LAMA_000222200	LAMA_000222200.1	Phosphatidyl serine synthase, putative	1596
LAMA_000222300	LAMA_000222300.1	NLI interacting factor-like phosphatase, putative	786
LAMA_000222400	LAMA_000222400.1	hypothetical protein, conserved	2808
LAMA_000222500	LAMA_000222500.1	hypothetical protein, conserved	1710
LAMA_000222600	LAMA_000222600.1	hypothetical protein, conserved	1269
LAMA_000222700	LAMA_000222700.1	hypothetical protein, conserved	618
LAMA_000222800	LAMA_000222800.1	hypothetical protein, conserved	459
LAMA_000222900:pseudogene	LAMA_000222900.1	hypothetical protein	461
LAMA_000223000	LAMA_000223000.1	NADP oxidoreductase coenzyme F420-dependent, putative	1737
LAMA_000223100	LAMA_000223100.1	hypothetical protein, conserved	2406
LAMA_000223200	LAMA_000223200.1	Protein tyrosine kinase/Protein kinase domain containing protein, putative	2142
LAMA_000223300	LAMA_000223300.1	Serine hydroxymethyltransferase, putative	1398
LAMA_000223400	LAMA_000223400.1	DnaJ domain containing protein, putative	1698
LAMA_000223500	LAMA_000223500.1	Fatty acid desaturase, putative	1245
LAMA_000223600	LAMA_000223600.1	hypothetical protein, conserved	1869
LAMA_000223700:pseudogene	LAMA_000223700.1	BT1 family, putative	789
LAMA_000223800:pseudogene	LAMA_000223800.1	Myo-inositol-1-phosphate synthase, putative	1618
LAMA_000223900	LAMA_000223900.1	hypothetical protein	297
LAMA_000224000	LAMA_000224000.1	tRNA synthetases class I W and Y, putative	2049
LAMA_000224100	LAMA_000224100.1	hypothetical protein, conserved	954
LAMA_000224200	LAMA_000224200.1	emp24/gp25L/p24 family/GOLD, putative	666
LAMA_000224300	LAMA_000224300.1	hypothetical protein, conserved	447
LAMA_000224400	LAMA_000224400.1	hypothetical protein	372
LAMA_000224500	LAMA_000224500.1	Protein kinase domain/Protein tyrosine kinase, putative	1668
LAMA_000224600	LAMA_000224600.1	hypothetical protein, conserved	2013
LAMA_000224700	LAMA_000224700.1	WD domain, G-beta repeat, putative	5265
LAMA_000224800	LAMA_000224800.1	C2 domain containing protein, putative	2904
LAMA_000224900	LAMA_000224900.1	Vacuolar 14 Fab1-binding region/Vacuolar protein 14 C-terminal Fig4p binding, putative	2058
LAMA_000225000	LAMA_000225000.1	Mitochondrial pyruvate carriers, putative	423
LAMA_000225100	LAMA_000225100.1	hypothetical protein, conserved	1455
LAMA_000225200	LAMA_000225200.1	Glutaredoxin/Glutathione S-transferase, N-terminal domain containing protein, putative	936
LAMA_000225300	LAMA_000225300.1	SacI homology domain containing protein, putative	2538
LAMA_000225400	LAMA_000225400.1	TATA box binding protein associated factor TAF/Centromere kinetochore component CENP-T histone fold, putative	303
LAMA_000225500	LAMA_000225500.1	hypothetical protein, conserved	1863
LAMA_000225600	LAMA_000225600.1	GDA1/CD39 nucleoside phosphatase family, putative	1278
LAMA_000225700	LAMA_000225700.1	SLOG cluster4 family/Possible lysine decarboxylase, putative	999
LAMA_000225800	LAMA_000225800.1	Oxidoreductase FAD-binding domain/Ferric reductase NAD binding domain/Oxidoreductase NAD-binding domain containing protein, putative	840
LAMA_000225900	LAMA_000225900.1	MIF4G domain containing protein, putative	3048
LAMA_000226000	LAMA_000226000.1	hypothetical protein, conserved	1407
LAMA_000226100	LAMA_000226100.1	hypothetical protein, conserved	960
LAMA_000226200:pseudogene	LAMA_000226200.1	AAA domain dynein-related subfamily/AAA domain Cdc48 subfamily/ATPase family associated with various cellular activities AAA, putative	1344
LAMA_000226300	LAMA_000226300.1	Pyridine nucleotide-disulphide oxidoreductase/Flavin-binding monooxygenase-like/NADP-binding Rossmann-like domain/L-lysine 6-monooxygenase NADPH-requiring, putative	1695
LAMA_000226400	LAMA_000226400.1	hypothetical protein, conserved	2385
LAMA_000226500	LAMA_000226500.1	Mitochondrial carrier protein, putative	957
LAMA_000226600	LAMA_000226600.1	DEAD/DEAH box helicase/Helicase conserved C-terminal domain containing protein, putative	1950
LAMA_000226700	LAMA_000226700.1	Zinc finger C-x8-C-x5-C-x3-H type and similar, putative	648
LAMA_000226800	LAMA_000226800.1	hypothetical protein, conserved	549
LAMA_000226900	LAMA_000226900.1	hypothetical protein	561
LAMA_000227000	LAMA_000227000.1	Zinc finger C-x8-C-x5-C-x3-H type and similar, putative	1941
LAMA_000227100	LAMA_000227100.1	Protein phosphatase 2C, putative	1215
LAMA_000227200	LAMA_000227200.1	Protein kinase domain/Protein tyrosine kinase, putative	2241
LAMA_000227300	LAMA_000227300.1	hypothetical protein, conserved	1758
LAMA_000227400	LAMA_000227400.1	Cytochrome b5-like Heme/Steroid binding domain containing protein, putative	492
LAMA_000227500	LAMA_000227500.1	hypothetical protein, conserved	1101
LAMA_000227600	LAMA_000227600.1	hypothetical protein, conserved	1560
LAMA_000227700	LAMA_000227700.1	Calcineurin-like phosphoesterase, putative	1125
LAMA_000227800	LAMA_000227800.1	hypothetical protein, conserved	648
LAMA_000227900	LAMA_000227900.1	WD domain, G-beta repeat, putative	1044
LAMA_000228000	LAMA_000228000.1	OB-fold nucleic acid binding domain/tRNA synthetases class II D, K and N, putative	1761
LAMA_000228100	LAMA_000228100.1	hypothetical protein, conserved	1218
LAMA_000228200	LAMA_000228200.1	hypothetical protein, conserved	5790
LAMA_000228300	LAMA_000228300.1	hypothetical protein, conserved	1443
LAMA_000228400	LAMA_000228400.1	OB-fold nucleic acid binding domain/Replication protein A C terminal, putative	774
LAMA_000228500	LAMA_000228500.1	hypothetical protein	495
LAMA_000228600	LAMA_000228600.1	hypothetical protein	663
LAMA_000228700	LAMA_000228700.1	hypothetical protein, conserved	2409
LAMA_000228800	LAMA_000228800.1	Ecotin, putative	441
LAMA_000228900	LAMA_000228900.1	hypothetical protein, conserved	1962
LAMA_000229000	LAMA_000229000.1	hypothetical protein, conserved	1102
LAMA_000229100	LAMA_000229100.1	alpha/beta hydrolase fold/Carboxylesterase family, putative	2688
LAMA_000229200	LAMA_000229200.1	hypothetical protein, conserved	1112
LAMA_000229300	LAMA_000229300.1	hypothetical protein, conserved	1470
LAMA_000229400	LAMA_000229400.1	hypothetical protein, conserved	2001
LAMA_000229500:pseudogene	LAMA_000229500.1	RNA pseudouridylate synthase, putative	3185
LAMA_000229600:pseudogene	LAMA_000229600.1	hypothetical protein	302
LAMA_000229700	LAMA_000229700.1	Asparaginase, N-terminal/Glutaminase/Asparaginase C-terminal domain containing protein, putative	1197
LAMA_000229800	LAMA_000229800.1	hypothetical protein, conserved	2016
LAMA_000229900:pseudogene	LAMA_000229900.1	hypothetical protein, conserved	2065
LAMA_000230000	LAMA_000230000.1	hypothetical protein, conserved	441
LAMA_000230100	LAMA_000230100.1	hypothetical protein, conserved	1056
LAMA_000230200	LAMA_000230200.1	hypothetical protein, conserved	1028
LAMA_000230300	LAMA_000230300.1	hypothetical protein	6274
LAMA_000230400	LAMA_000230400.1	hypothetical protein, conserved	2124
LAMA_000230500	LAMA_000230500.1	Holliday junction DNA helicase RuvB P-loop domain/AAA domain dynein-related subfamily/ATPase family associated with various cellular activities AAA/AAA+ lid domain/Vps4 C terminal oligomerisation domain containing protein, putative	3030
LAMA_000230600:pseudogene	LAMA_000230600.1	Ecotin, putative	327
LAMA_000230700	LAMA_000230700.1	Ecotin, putative	1119
LAMA_000230800	LAMA_000230800.1	hypothetical protein, conserved	5631
LAMA_000230900	LAMA_000230900.1	hypothetical protein, conserved	2037
LAMA_000231000	LAMA_000231000.1	hypothetical protein, conserved	5289
LAMA_000231100	LAMA_000231100.1	hypothetical protein, conserved	1620
LAMA_000231200	LAMA_000231200.1	hypothetical protein, conserved	999
LAMA_000231300	LAMA_000231300.1	CRAL/TRIO domain containing protein, putative	1554
LAMA_000231400	LAMA_000231400.1	Signal peptidase subunit, putative	981
LAMA_000231500	LAMA_000231500.1	hypothetical protein, conserved	708
LAMA_000231600:pseudogene	LAMA_000231600.1	hypothetical protein, conserved	4979
LAMA_000231700	LAMA_000231700.1	hypothetical protein, conserved	3789
LAMA_000231800	LAMA_000231800.1	hypothetical protein, conserved	1347
LAMA_000231900	LAMA_000231900.1	hypothetical protein, conserved	2769
LAMA_000232000	LAMA_000232000.1	Kelch motif/Galactose oxidase, central domain containing protein, putative	4095
LAMA_000232100:pseudogene	LAMA_000232100.1	hypothetical protein, conserved	2153
LAMA_000232200	LAMA_000232200.1	hypothetical protein, conserved	1821
LAMA_000232300	LAMA_000232300.1	hypothetical protein, conserved	3099
LAMA_000232400	LAMA_000232400.1	hypothetical protein, conserved	609
LAMA_000232500	LAMA_000232500.1	hypothetical protein, conserved	1476
LAMA_000232600	LAMA_000232600.1	hypothetical protein, conserved	3081
LAMA_000232700	LAMA_000232700.1	hypothetical protein, conserved	10107
LAMA_000232800	LAMA_000232800.1	hypothetical protein, conserved	1968
LAMA_000232900	LAMA_000232900.1	Lysine methyltransferase, putative	1134
LAMA_000233000	LAMA_000233000.1	Protein of unknown function DUF2871, putative	453
LAMA_000233100	LAMA_000233100:tRNA	unspecified product	74
LAMA_000233200	LAMA_000233200:rRNA	unspecified product	119
LAMA_000233300	LAMA_000233300.1	hypothetical protein, conserved	1602
LAMA_000233400	LAMA_000233400.1	ABC-2 family transporter protein/ABC transporter/AAA domain, putative AbiEii toxin, Type IV TA system, putative	8013
LAMA_000233500	LAMA_000233500.1	Protein kinase domain/Protein tyrosine kinase, putative	1968
LAMA_000233600	LAMA_000233600.1	hypothetical protein	1065
LAMA_000233700	LAMA_000233700.1	hypothetical protein, conserved	1968
LAMA_000233800	LAMA_000233800.1	hypothetical protein, conserved	6249
LAMA_000233900	LAMA_000233900.1	Peroxisomal membrane protein Pex16, putative	1677
LAMA_000234000	LAMA_000234000.1	Dolichol phosphate-mannose biosynthesis regulatory protein DPM2, putative	333
LAMA_000234100	LAMA_000234100.1	Lysine methyltransferase/GDP dissociation inhibitor, putative	3102
LAMA_000234200	LAMA_000234200.1	hypothetical protein, conserved	1275
LAMA_000234300	LAMA_000234300.1	hypothetical protein, conserved	2427
LAMA_000234400	LAMA_000234400.1	Nucleotide-sugar transporter, putative	1230
LAMA_000234500	LAMA_000234500.1	hypothetical protein, conserved	2874
